rank,net_worth,full_name,age,gender,country_of_citizenship,business_category,self_made,wealth_status
1,211,Bernard Arnault & family,74,1,14,3,0,3
2,180,Elon Musk,51,1,28,10,1,1
3,114,Jeff Bezos,59,1,28,1,1,1
4,107,Larry Ellison,78,1,28,1,1,3
5,106,Warren Buffett,92,1,28,0,1,1
6,104,Bill Gates,67,1,28,1,1,1
7,94,Michael Bloomberg,81,1,28,9,1,3
8,93,Carlos Slim Helu & family,83,1,2,16,1,3
9,83,Mukesh Ambani,65,1,26,6,0,1
10,80,Steve Ballmer,67,1,28,1,1,1
11,80,Francoise Bettencourt Meyers & family,69,0,14,3,0,3
12,79,Larry Page,50,1,28,1,1,1
13,77,Amancio Ortega,87,1,8,3,1,3
14,76,Sergey Brin,49,1,28,1,1,1
15,68,Zhong Shanshan,68,1,27,5,1,3
16,64,Mark Zuckerberg,38,1,28,1,1,1
17,59,Charles Koch,87,1,28,6,0,1
17,59,Julia Koch & family,60,0,28,6,0,1
19,58,Jim Walton,74,1,28,3,0,1
20,57,Rob Walton,78,1,28,3,0,1
21,56,Alice Walton,73,0,28,3,0,1
22,54,David Thomson & family,65,1,22,9,0,3
23,50,Michael Dell,58,1,28,1,1,1
24,47,Gautam Adani,60,1,26,6,1,1
25,45,Phil Knight & family,85,1,28,3,1,1
26,45,Zhang Yiming,39,1,27,1,1,1
27,42,Dieter Schwarz,83,1,25,3,0,1
28,40,François Pinault & family,86,1,14,3,1,1
29,39,Klaus-Michael Kuehne,85,1,25,14,0,3
30,38,Giovanni Ferrero,58,1,21,5,0,3
31,38,Jacqueline Mars,83,0,28,5,0,3
31,38,John Mars,87,1,28,5,0,3
34,35,Ma Huateng,51,1,27,1,1,1
35,35,Miriam Adelson & family,77,0,28,17,0,3
35,35,Ken Griffin,54,1,28,0,1,3
38,33,Robin Zeng,54,1,23,10,1,1
39,32,Tadashi Yanai & family,74,1,13,3,1,3
40,32,Len Blavatnik,65,1,28,6,1,1
41,31,Alain Wertheimer,74,1,14,3,0,3
41,31,Gerard Wertheimer,72,1,14,3,0,3
45,30,Colin Zheng Huang,43,1,27,1,1,3
46,29,Reinhold Wuerth & family,87,1,25,2,1,3
47,29,Lee Shau Kee,95,1,23,7,1,1
48,28,Jeff Yass,64,1,28,0,1,3
49,28,Jim Simons,84,1,28,0,1,1
50,27,Stephen Schwarzman,76,1,28,0,1,1
51,27,Susanne Klatten,60,0,25,10,0,3
52,27,Gina Rinehart,69,0,17,11,0,1
53,26,William Lei Ding,51,1,27,1,1,3
54,26,Germán Larrea Mota Velasco & family,69,1,2,11,0,1
55,25,Shiv Nadar,77,1,26,1,1,1
56,25,Low Tuck Kwong,74,1,6,8,1,3
57,25,Thomas Peterffy,78,1,28,0,1,3
58,25,Andrey Melnichenko & family,51,1,24,11,1,3
59,24,Stefan Quandt,56,1,25,10,0,3
60,24,MacKenzie Scott,52,0,28,1,0,1
61,24,R. Budi Hartono,82,1,6,0,0,3
62,23,Vladimir Potanin,62,1,24,11,1,3
63,23,Jack Ma,58,1,27,1,1,3
64,23,He Xiangjian & family,80,1,27,2,1,1
65,23,Iris Fontbona & family,80,0,0,11,0,3
65,23,Michael Hartono,83,1,6,2,0,3
67,22,James Ratcliffe,70,1,19,2,1,3
68,22,Cyrus Poonawalla,81,1,26,4,0,1
69,22,Masayoshi Son,65,1,13,16,1,3
70,22,Vladimir Lisin,66,1,24,11,1,3
71,22,Emmanuel Besnier,52,1,14,5,0,1
72,21,Abigail Johnson,61,0,28,0,0,3
72,21,Leonid Mikhelson & family,67,1,24,8,1,3
74,21,Lukas Walton,36,1,28,3,0,3
74,21,Wang Wei,52,1,27,12,1,1
76,21,Jensen Huang,60,1,28,1,1,3
77,21,Leonard Lauder,90,1,28,3,0,1
77,21,Takemitsu Takizaki,77,1,13,2,1,1
79,20,Alexey Mordashov & family,57,1,24,11,1,3
80,20,Vagit Alekperov,72,1,24,8,1,3
81,20,"Thomas Frist, Jr. & family",84,1,28,4,1,1
82,19,Andrew Forrest,61,1,17,11,1,3
83,19,Ray Dalio,73,1,28,0,1,1
84,19,Li Eric,59,1,27,10,1,1
84,19,Wang Wenyin,55,1,27,11,1,3
86,18,Eyal Ofer,72,1,12,6,0,3
86,18,Qin Yinglin,57,1,27,5,1,1
88,18,Wang Chuanfu,57,1,27,10,1,1
89,18,Harold Hamm & family,77,1,28,8,1,3
89,18,David Tepper,65,1,28,0,1,3
89,18,Gennady Timchenko,70,1,24,8,1,3
92,18,Daniel Gilbert,61,1,28,0,1,1
93,17,Lakshmi Mittal,72,1,26,11,0,1
94,17,Steve Cohen,66,1,28,0,1,3
94,17,Carl Icahn,87,1,28,0,1,3
94,17,Savitri Jindal & family,73,0,26,11,0,1
97,17,Donald Bren,90,1,28,7,1,3
97,17,"John Menard, Jr.",83,1,28,3,1,3
99,17,Rupert Murdoch & family,92,1,28,9,0,1
100,16,Vicky Safra & family,70,0,20,0,0,3
101,16,"Theo Albrecht, Jr. & family",72,1,25,3,0,1
101,16,Renata Kellnerova & family,55,0,0,0,0,1
103,16,Li Xiting,72,1,7,4,1,1
104,16,Stefan Persson,75,1,15,3,0,1
104,16,Eric Schmidt,67,1,28,1,1,1
106,16,Michael Platt,55,1,19,0,1,3
107,15,Pang Kang,67,1,27,5,1,1
108,15,Jorge Paulo Lemann & family,83,1,20,5,1,3
108,15,Peter Woo,76,1,23,7,0,1
112,15,Dilip Shanghvi,67,1,26,4,1,2
113,15,Robert Pera,45,1,28,1,1,3
114,15,Radhakishan Damani,68,1,26,3,1,1
115,15,Huang Shilin,56,1,27,10,1,1
116,14,Dhanin Chearavanont,83,1,9,6,0,3
116,14,David Green & family,81,1,28,3,1,3
118,14,Charoen Sirivadhanabhakdi,78,1,9,5,1,3
119,14,Charlene de Carvalho-Heineken & family,68,0,1,5,0,1
120,14,Xu Hang,56,1,23,4,1,1
121,14,Wei Jianjun & family,59,1,27,10,1,1
122,14,Alisher Usmanov,69,1,24,11,1,3
123,14,Goh Cheng Liang,95,1,7,2,1,3
124,14,Kumar Birla,55,1,26,6,0,1
124,14,Aliko Dangote,65,1,0,2,1,3
126,14,Kwong Siu-hing,93,0,23,7,0,3
127,14,Idan Ofer,67,1,12,6,0,3
128,13,Chen Bang,57,1,27,4,1,3
128,13,Lui Che Woo,94,1,23,17,1,3
130,13,John Fredriksen,78,1,0,14,1,3
130,13,Diane Hendricks,76,0,28,13,1,3
130,13,Jan Koum,47,1,28,1,1,3
133,13,Jerry Jones,80,1,28,15,1,3
133,13,George Kaiser,80,1,28,8,0,3
133,13,Joseph Lau,71,1,23,7,1,1
136,13,Lu Xiangyang,60,1,27,10,1,1
137,13,Harry Triguboff,90,1,17,7,1,3
138,12,Uday Kotak,64,1,26,0,1,1
138,12,Stanley Kroenke,75,1,28,15,1,3
140,12,Mikhail Fridman,58,1,24,8,1,3
141,12,Sarath Ratanavadi,57,1,9,8,1,3
142,12,Dang Yanbao,50,1,27,11,1,1
142,12,Jiang Rensheng & family,69,1,27,4,1,1
144,12,Shahid Khan,72,1,28,10,1,3
145,12,Laurene Powell Jobs & family,59,0,28,1,0,1
146,11,Robert Kuok,99,1,4,6,1,3
147,11,Stephen Ross,82,1,28,7,1,3
148,11,Pavel Durov,38,1,0,1,1,1
148,11,Andreas Struengmann & family,73,1,25,4,1,1
148,11,Thomas Struengmann & family,73,1,25,4,1,1
151,11,Liu Hanyuan,59,1,27,5,1,1
151,11,Michael Rubin,50,1,28,3,1,3
153,11,Israel Englander,74,1,28,0,1,1
153,11,Viatcheslav Kantor,69,1,24,2,1,3
153,11,Anthony Pratt,62,1,17,2,0,1
153,11,Mikhail Prokhorov,57,1,24,0,1,3
157,11,Giorgio Armani,88,1,21,3,1,3
157,11,Johann Rupert & family,72,1,0,3,0,3
159,11,Gong Hongjia & family,58,1,23,0,1,1
159,11,Zhang Zhidong,51,1,27,1,1,1
161,10,Philip Anschutz,83,1,28,0,0,2
161,10,Judy Love & family,85,0,28,3,1,3
161,10,Ricardo Salinas Pliego & family,67,1,2,3,0,1
164,10,Donald Newhouse,93,1,28,9,0,1
165,10,Robert Kraft,81,1,28,15,1,3
165,10,Marcel Herrmann Telles,73,1,20,5,1,3
167,10,Suleiman Kerimov & family,57,1,24,0,1,3
167,10,Chris Xu,39,1,27,3,1,3
167,10,Changpeng Zhao,45,1,22,0,1,1
170,10,Andrew Beal,70,1,28,0,1,3
171,10,Mike Cannon-Brookes,43,1,17,1,1,1
171,10,Carl Cook,60,1,28,4,0,1
171,10,David Duffield,82,1,28,1,1,1
171,10,Jeffery Hildebrand,64,1,28,8,1,3
171,10,Viktor Rashnikov,74,1,24,2,1,3
171,10,Eduardo Saverin,41,1,20,1,1,1
171,10,Georg Schaeffler,58,1,25,10,0,3
171,10,Christy Walton,74,0,28,3,0,3
179,10,Scott Farquhar,43,1,17,1,1,1
179,10,Quek Leng Chan,81,1,4,6,0,1
179,10,Wu Yajun,59,0,27,7,1,1
182,10,Autry Stephens,85,1,28,8,1,3
183,9,Liu Yongxing,74,1,27,12,1,1
184,9,Nicolas Puech,80,1,14,3,0,3
184,9,Melker Schorling & family,75,1,15,0,1,1
190,9,Andrei Guriev & family,63,1,24,2,1,3
190,9,Michael Kim,59,1,28,0,1,3
190,9,Lei Jun,53,1,27,1,1,1
190,9,Friedhelm Loh,76,1,25,2,0,3
190,9,Sun Piaoyang,64,1,27,4,1,1
195,9,Jin Baofang,70,1,27,8,1,1
195,9,Luo Liguo & family,67,1,27,2,1,1
195,9,Marijke Mars,58,0,28,5,0,3
195,9,Pamela Mars,62,0,28,5,0,3
195,9,Valerie Mars,64,0,28,5,0,3
195,9,Victoria Mars,66,0,28,5,0,3
202,9,Vincent Bolloré & family,71,1,14,0,0,3
202,9,Jim Pattison,94,1,22,6,1,1
204,9,Ernesto Bertarelli,57,1,16,4,0,3
204,9,Wang Xing,44,1,27,1,1,1
206,9,Brian Chesky,41,1,28,1,1,1
206,9,James Dyson,75,1,19,2,1,3
208,9,Roman Abramovich & family,56,1,24,6,1,3
208,9,Antonia Ax:son Johnson & family,79,0,15,6,0,3
208,9,Daniel Kretinsky,47,1,0,8,1,3
208,9,John Malone,82,1,28,9,1,3
208,9,Azim Premji,77,1,26,1,0,1
208,9,Charles Schwab,85,1,28,0,1,1
208,9,Eric Smidt,63,1,28,3,1,3
215,9,David Cheriton,72,1,22,1,1,1
215,9,Ivan Glasenberg,66,1,16,11,1,1
215,9,Alexander Otto,55,1,25,7,0,1
215,9,Anthony von Mandl,73,1,22,5,1,3
215,9,Wang Liping & family,57,1,27,2,1,3
220,8,Finn Rausing,68,1,15,5,0,1
220,8,Jorn Rausing,63,1,15,5,0,1
220,8,Kirsten Rausing,70,0,15,5,0,1
223,8,Tatyana Bakalchuk,47,0,24,3,1,3
223,8,John Doerr,71,1,28,1,1,1
223,8,Richard Liu,49,1,27,1,1,1
223,8,Dustin Moskovitz,38,1,28,1,1,1
223,8,Pierre Omidyar,55,1,28,1,1,1
223,8,Pei Zhenhua,64,1,27,8,1,1
223,8,Carrie Perrodo & family,72,0,14,8,0,3
230,8,Chen Jianhua,52,1,27,2,1,3
230,8,Michael Otto,79,1,25,3,0,1
232,8,Leon Black,71,1,28,0,1,1
232,8,Graeme Hart,67,1,0,0,1,1
232,8,Ravi Jaipuria,68,1,26,5,0,3
232,8,Hasso Plattner & family,79,1,25,1,1,3
232,8,Carlos Alberto Sicupira & family,75,1,20,5,1,3
232,8,Manuel Villar,73,1,5,7,1,3
232,8,Andreas von Bechtolsheim & family,67,1,25,1,1,1
239,8,"Chase Coleman, III.",47,1,28,0,1,1
239,8,Ann Walton Kroenke,74,0,28,3,0,1
239,8,Li Zhenguo & family,55,1,27,2,1,1
242,8,Jim Kennedy,75,1,28,9,0,3
242,8,Nicky Oppenheimer & family,77,1,0,11,0,1
242,8,Blair Parry-Okeden,72,0,28,9,0,3
242,8,Zheng Shuliang & family,77,0,27,11,0,1
246,8,John Morris,75,1,28,3,1,3
246,8,Stefano Pessina,81,1,0,3,0,1
249,8,Francis Choi,75,1,23,7,1,3
249,8,German Khan,61,1,24,8,1,3
249,8,Abdulsamad Rabiu,62,1,0,6,0,3
249,8,George Roberts,79,1,28,0,1,3
249,8,Kushal Pal Singh,91,1,26,7,0,1
249,8,Wang Jianlin,68,1,27,7,1,1
249,8,Yang Huiyan & family,41,0,27,7,0,1
256,8,Laurent Dassault,69,1,14,6,0,1
256,8,Thierry Dassault,66,1,14,6,0,1
256,8,Tilman Fertitta,65,1,28,5,1,3
256,8,Marie-Hélène Habert-Dassault,58,0,14,6,0,1
256,8,Karel Komarek,54,1,0,17,1,3
261,8,Nathan Blecharczyk,39,1,28,1,1,1
261,8,Leonid Fedun,66,1,24,8,1,3
261,8,Bernard Marcus,93,1,28,3,1,1
261,8,Patrick Ryan,85,1,28,0,1,2
261,8,Robert F. Smith,60,1,28,0,1,3
261,8,Pavel Tykac,58,1,0,11,1,3
268,7,Orlando Bravo,52,1,28,0,1,3
268,7,Ding Shizhong & family,52,1,27,3,1,3
268,7,Nancy Walton Laurie,71,0,28,3,0,1
268,7,Jay Y. Lee,54,1,11,1,0,1
268,7,Ramzi Musallam,54,1,28,0,1,3
268,7,David Shaw,72,1,28,0,1,3
268,7,Andrei Skoch & family,57,1,24,11,1,3
268,7,Georg Stumpf,50,1,0,6,1,2
276,7,Rocco Commisso,73,1,28,16,1,3
276,7,Li Shuirong,66,1,27,2,1,1
276,7,Lin Shu-hong,94,1,18,2,1,3
276,7,Qi Shi & family,53,1,27,1,1,1
276,7,Yao Liangsong,58,1,27,2,1,1
276,7,Zhang Congyuan,75,1,18,3,1,1
282,7,Jean-Michel Besnier,55,1,14,5,0,1
282,7,Marie Besnier Beauvalot,42,0,14,5,0,1
282,7,David Geffen,80,1,28,9,1,1
282,7,Robin Li,54,1,27,1,1,3
282,7,Liu Yonghao & family,71,1,27,12,1,1
282,7,Henry Samueli,68,1,28,1,1,3
282,7,Reinhold Schmieding,68,1,28,4,1,3
282,7,Ivar Tollefsen,61,1,3,7,1,3
290,7,Cao Renxian,54,1,27,8,1,1
290,7,Hasmukh Chudgar & family,89,1,26,4,1,3
290,7,Andrew Currie,67,1,19,2,1,3
290,7,Joe Gebbia,41,1,28,1,1,1
290,7,John Reece,66,1,19,2,1,3
290,7,Leonard Stern,85,1,28,7,0,3
290,7,Joseph Tsai,59,1,22,1,1,1
290,7,Zhong Huijuan,62,0,27,4,1,1
299,7,Arthur Blank,80,1,28,15,1,3
299,7,Charles Butt,85,1,28,3,0,0
299,7,Ding Shijia,59,1,27,3,1,1
299,7,"Paul Tudor Jones, II.",68,1,28,0,1,3
299,7,Henry Kravis,79,1,28,0,1,1
299,7,Zhang Yong,52,1,7,5,1,3
305,7,James Goodnight,80,1,28,1,1,3
305,7,Sri Prakash Lohia,70,1,6,2,0,3
305,7,Ma Jianrong & family,59,1,27,3,1,1
305,7,Steven Rales,72,1,28,2,1,1
305,7,Nassef Sawiris,62,1,0,13,0,1
305,7,Harry Stine,81,1,28,5,1,3
312,7,Benu Gopal Bangur,91,1,26,2,0,3
312,7,Iskander Makhmudov,59,1,24,11,1,3
312,7,Anders Holch Povlsen,50,1,0,3,0,1
312,7,Enrique Razon Jr.,63,1,5,14,0,3
312,7,Wang Laichun,55,0,27,1,1,1
317,7,Terry Gou,72,1,18,1,1,3
317,7,Jeff Greene,68,1,28,7,1,3
317,7,Don Hankey,79,1,28,0,1,3
317,7,Richard Kinder,78,1,28,8,1,1
317,7,Guillaume Pousaz,41,1,16,0,1,1
317,7,Takahisa Takahara,61,1,13,3,0,3
317,7,Zong Qinghou,77,1,27,5,1,1
325,7,Judy Faulkner,79,0,28,1,1,3
325,7,Johann Graf,76,1,0,17,1,3
325,7,Tamara Gustavson,61,0,28,12,0,1
325,7,Liang Wengen,66,1,27,2,1,1
325,7,Frederik Paulsen,72,1,15,4,0,1
325,7,Wee Cho Yaw,94,1,7,0,0,1
325,7,Zhang Hejun,71,1,27,2,1,3
332,7,Marc Benioff,58,1,28,1,1,1
332,7,Dmitri Bukhman,37,1,12,9,1,1
332,7,Igor Bukhman,41,1,12,9,1,1
332,7,Jack Dangermond,77,1,28,1,1,3
332,7,Ashwin Dani & family,80,1,26,2,0,1
332,7,Ralph Lauren,83,1,28,3,1,3
332,7,Law Kar Po,74,1,23,7,0,3
332,7,J. Christopher Reyes,69,1,28,5,1,1
332,7,Jude Reyes,67,1,28,5,1,1
332,7,Don Vultaggio & family,71,1,28,5,1,3
344,6,Edythe Broad & family,87,0,28,6,0,2
344,6,Pauline MacMillan Keinath,89,0,28,5,0,1
344,6,Philippe Laffont,55,1,28,0,1,3
344,6,Liu Jincheng & family,58,1,27,1,1,1
344,6,Igor Olenicoff,80,1,28,7,1,3
344,6,Sandra Ortega Mera,54,0,8,3,0,3
344,6,Ronda Stryker,68,0,28,4,0,3
352,6,Dannine Avara,59,0,28,8,0,3
352,6,Silvio Berlusconi & family,86,1,21,6,1,1
352,6,Denise Coates,55,0,19,17,1,3
352,6,Scott Duncan,40,1,28,8,0,3
352,6,Milane Frantz,53,0,28,8,0,3
352,6,"Edward Johnson, IV.",58,1,28,0,0,3
352,6,Yuri Milner,61,1,12,0,1,1
352,6,Gordon Moore,94,1,28,1,1,1
352,6,John Overdeck,53,1,28,0,1,3
352,6,David Siegel,61,1,28,0,1,3
352,6,Viktor Vekselberg,65,1,24,6,1,3
352,6,Wang Laisheng,58,1,27,1,1,1
352,6,Randa Duncan Williams,61,0,28,8,0,3
365,6,Ken Fisher,72,1,28,0,1,3
365,6,Christopher Hohn,56,1,19,0,1,1
365,6,Kjeld Kirk Kristiansen,75,1,0,2,0,1
365,6,Sofie Kirk Kristiansen,47,0,0,2,0,1
365,6,Thomas Kirk Kristiansen,44,1,0,2,0,1
365,6,Massimiliana Landini Aleotti & family,80,0,21,4,0,3
365,6,Li Ping,55,1,23,10,1,1
365,6,Magdalena Martullo-Blocher,54,0,16,2,0,1
365,6,Xavier Niel,55,1,14,16,1,1
365,6,Terrence Pegula,72,1,28,8,1,3
365,6,"Edward Roski, Jr.",84,1,28,7,0,3
365,6,John A. Sobrato & family,83,1,28,7,1,3
365,6,George Soros,92,1,28,0,1,1
365,6,David Sun,71,1,28,1,1,3
365,6,Agnete Kirk Thinggaard,39,0,0,2,0,1
365,6,John Tu,81,1,28,1,1,3
365,6,Xu Shihui,65,1,27,5,1,1
383,6,Rahel Blocher,47,0,16,2,0,1
383,6,Bubba Cathy,68,1,28,5,0,3
383,6,Dan Cathy,70,1,28,5,0,3
383,6,Trudy Cathy White,67,0,28,5,0,3
383,6,Bruce Kovner,78,1,28,0,1,3
383,6,"Henry Nicholas, III.",63,1,28,1,1,3
383,6,Nadia Thiele,47,0,25,0,0,3
390,6,David Bonderman,80,1,28,0,1,3
390,6,Melinda French Gates,58,0,28,1,0,3
390,6,Nathan Kirsh,91,1,0,3,1,3
390,6,David Reuben,84,1,19,7,1,1
390,6,Simon Reuben,81,1,19,6,1,1
390,6,Radovan Vitek,51,1,0,7,1,3
397,6,Carl Bennet,71,1,15,0,1,1
397,6,Stephen Bisciotti,62,1,28,15,1,3
397,6,Stanley Druckenmiller,69,1,28,0,1,1
397,6,Jian Jun,59,0,27,4,1,3
397,6,Alexei Kuzmichev,60,1,24,8,1,3
397,6,Dmitry Rybolovlev & family,56,1,24,2,1,1
397,6,Luis Carlos Sarmiento,90,1,0,0,1,1
397,6,Dennis Washington,88,1,28,14,1,1
405,6,Anthony Bamford & family,77,1,19,13,0,3
405,6,Gao Jifan & family,58,1,27,8,1,1
405,6,John Grayken,66,1,0,0,1,1
405,6,Alain Merieux & family,85,1,14,4,0,1
405,6,Wang Yusuo & family,59,1,27,8,1,3
405,6,Stef Wertheimer & family,96,1,12,2,1,3
411,6,Maria Asuncion Aramburuzabala & family,59,0,2,5,0,2
411,6,Gustaf Douglas,85,1,15,6,1,1
411,6,Frits Goldschmeding,89,1,1,12,1,3
411,6,Lin Muqin & family,59,1,27,5,1,3
411,6,Ruan Liping,59,1,23,2,1,3
411,6,Ruan Xueping,51,1,23,2,1,3
411,6,Michal Solowow,60,1,0,0,1,2
418,6,Mike Adenuga,69,1,0,6,1,1
418,6,Tom Gores,58,1,28,0,1,3
418,6,Michael Herz,79,1,25,3,0,3
418,6,Wolfgang Herz,72,1,25,3,0,3
418,6,Michael Kadoorie,81,1,23,8,0,1
418,6,Zhou Qunfei,53,0,23,1,1,1
425,6,Alexander Abramov,64,1,24,11,1,3
425,6,Neil Bluhm,85,1,28,7,1,3
425,6,Alain Bouchard,74,1,22,3,1,3
425,6,Jay Chaudhry,63,1,28,1,1,1
425,6,Gopikishan Damani,65,1,26,3,1,1
425,6,Sumet Jiaravanon,88,1,9,6,0,3
425,6,Joe Lewis,86,1,19,0,1,3
425,6,Frank Lowy,92,1,17,0,1,1
425,6,Michael Milken,76,1,28,0,1,3
425,6,David Steward,71,1,28,1,1,3
425,6,Les Wexner & family,85,1,28,3,1,3
437,5,Cai Kui,60,1,27,7,1,1
437,5,Jaran Chiaravanont,93,1,9,6,0,3
437,5,Andreas Halvorsen,61,1,3,0,1,1
437,5,Antony Ressler,62,1,28,0,1,3
437,5,Tsai Eng-meng,66,1,18,5,0,1
442,5,Josh Harris,58,1,28,0,1,2
442,5,Niels Peter Louis-Hansen,75,1,0,4,0,1
442,5,Patrick Soon-Shiong,70,1,28,4,1,1
445,5,Rinat Akhmetov,56,1,0,11,1,3
445,5,John Brown,88,1,28,4,1,3
445,5,Clive Calder,76,1,19,9,1,2
445,5,Arthur Irving,93,1,22,8,0,3
445,5,Fredrik Lundberg,71,1,15,7,0,1
445,5,Thomas Schmidheiny,77,1,16,13,0,3
445,5,Helmut Sohmen,83,1,0,14,0,3
445,5,Daniel Ziff,51,1,28,0,0,3
445,5,Dirk Ziff,59,1,28,0,0,3
445,5,Robert Ziff,56,1,28,0,0,3
455,5,Ray Lee Hunt,79,1,28,8,0,1
455,5,Lai Meisong,52,1,27,14,1,3
455,5,Vikram Lal & family,81,1,26,10,0,3
455,5,Ken Langone,87,1,28,0,1,1
455,5,Karen Pritzker,65,0,28,0,0,1
455,5,Robert Rowling,69,1,28,12,0,3
455,5,Teddy Sagi,51,1,12,17,1,2
455,5,Seo Jung-jin,65,1,11,4,1,1
455,5,Wu Jianshu,59,1,23,10,1,1
466,5,Micky Arison,73,1,28,12,0,1
466,5,James Chambers,65,1,28,9,0,3
466,5,Pierre Chen,66,1,18,1,1,3
466,5,John Collison,32,1,0,1,1,1
466,5,Patrick Collison,34,1,0,1,1,1
466,5,Archie Aldis Emmerson & family,93,1,28,2,1,3
466,5,Piero Ferrari,77,1,21,10,0,3
466,5,Dan Friedkin,58,1,28,10,0,3
466,5,James Irving,95,1,22,6,0,3
466,5,Jiang Weiping & family,68,1,27,2,1,1
466,5,Wolfgang Marguerre & family,81,1,25,4,1,3
466,5,Ludwig Merckle,58,1,25,0,0,1
466,5,Mitchell Rales,66,1,28,2,1,1
466,5,Katharine Rayner,78,0,28,9,0,3
466,5,Jean Salata,57,1,0,0,1,3
466,5,Paul Singer,78,1,28,0,1,3
466,5,Sergio Stevanato & family,80,1,21,4,1,3
466,5,Margaretta Taylor,80,0,28,9,0,3
466,5,Richard White,68,1,17,1,1,3
466,5,Zhao Yan,56,0,27,6,1,1
486,5,Patrizio Bertelli,77,1,21,3,1,3
486,5,Mahendra Choksi & family,81,1,26,2,0,1
