rank,net_worth,full_name,age,gender,country_of_citizenship,business_category,self_made,wealth_status
486,5,Mat Ishbia,43,1,28,0,0,3
486,5,Leo Koguan,68,1,28,1,1,1
486,5,Miao Hangen,58,1,27,6,1,1
486,5,Michael Pieper,77,1,16,2,1,3
486,5,Miuccia Prada,73,0,21,3,0,3
486,5,Wolfgang Reimann,70,1,25,3,0,1
486,5,Matthias Reimann-Andersen,58,1,25,3,0,1
486,5,Stefan Reimann-Andersen,59,1,25,3,0,1
486,5,Renate Reimann-Haas,71,0,25,3,0,1
497,5,Todd Boehly,49,1,28,0,1,3
497,5,Rick Caruso,64,1,28,7,1,3
497,5,Ibrahim Erdemoglu,60,1,10,2,1,3
497,5,Elizabeth Johnson,59,0,28,0,0,3
497,5,Douglas Leone,65,1,28,0,1,1
497,5,Prajogo Pangestu,78,1,6,6,0,1
497,5,Thomas Pritzker,72,1,28,0,0,3
497,5,Gary Rollins,78,1,28,12,0,2
497,5,Mark Walter,62,1,28,0,1,3
497,5,Ronald Wanek,81,1,28,2,1,1
497,5,Erich Wesjohann & family,77,1,25,5,1,1
497,5,M.A. Yusuff Ali,67,1,26,3,1,1
511,5,Alexandre Behring,56,1,20,0,1,3
511,5,Cheng Xue,53,0,27,5,1,1
511,5,Gao Dekang & family,71,1,27,3,1,3
511,5,Micky Jagtiani,71,1,26,3,0,3
511,5,Ananda Krishnan,85,1,4,16,1,1
511,5,Barry Lam,73,1,18,1,1,1
511,5,"Robert Rich, Jr.",82,1,28,5,0,3
511,5,Mark Scheinberg,49,1,22,17,1,1
511,5,Charles Simonyi,74,1,28,1,1,1
511,5,Ty Warner,78,1,28,7,1,3
511,5,Sam Zell,81,1,28,7,1,1
523,5,Wei Fang,49,1,27,2,1,3
523,5,Charles B. Johnson,90,1,28,0,0,2
523,5,Kwon Hyuk-bin,49,1,11,9,1,1
523,5,Sami Mnaymneh,61,1,28,0,1,3
523,5,Kjell Inge Rokke,64,1,3,14,1,1
523,5,Tony Tamer,65,1,28,0,1,3
523,5,Tse Ping & family,71,1,27,4,1,1
523,5,Romesh T. Wadhwani,75,1,28,1,1,3
523,5,Hansjoerg Wyss,88,1,16,4,1,3
523,5,Denise York & family,72,0,28,15,0,3
534,5,Ron Baron,79,1,28,0,1,3
534,5,Robert Bass,75,1,28,8,0,1
534,5,Dona Bertarelli,55,0,16,4,0,3
534,5,Martin Haefner,69,1,16,1,0,3
534,5,"Robert Hale, Jr.",56,1,28,16,1,3
534,5,Viktor Kharitonin,50,1,24,4,1,3
534,5,Kim Beom-su,57,1,11,1,1,1
534,5,Jane Lauder,50,0,28,3,0,1
534,5,Michel Leclercq & family,83,1,14,3,0,3
534,5,George Lucas,78,1,28,9,1,1
534,5,Janice McNair,86,0,28,15,0,3
534,5,Ugur Sahin,57,1,25,4,1,1
534,5,Alexandra Schoerghuber & family,64,0,25,7,0,3
534,5,Thomas Straumann,59,1,16,4,0,1
534,5,Murat Ulker,64,1,10,5,0,3
534,5,Chip Wilson,66,1,22,3,1,1
552,4,Jim Davis & family,79,1,28,2,1,1
552,4,Murali Divi & family,72,1,26,4,1,1
552,4,Dagmar Dolby & family,81,0,28,1,0,3
552,4,Tom Golisano,81,1,28,12,1,1
552,4,Jonathan Gray,53,1,28,0,1,1
552,4,Bidzina Ivanishvili,67,1,0,0,1,3
552,4,Lim Hariyanto Wijaya Sarwono,94,1,6,11,1,3
552,4,Rudolf Maag,77,1,16,4,1,1
552,4,Emanuele (Lino) Saputo & family,86,1,22,5,0,3
552,4,Mark Shoen,72,1,28,10,0,3
552,4,Dan Snyder,58,1,28,15,1,3
552,4,Chairul Tanjung,60,1,6,6,1,1
552,4,Kelcy Warren,67,1,28,8,1,3
552,4,Zhang Tao,50,1,27,3,1,1
567,4,Michael Ashley,58,1,19,3,1,3
567,4,Tomasz Biernacki,50,1,0,3,1,3
567,4,Bernard Broermann,79,1,25,4,1,3
567,4,Jimmy Haslam,69,1,28,3,0,3
567,4,H. Fisk Johnson,64,1,28,2,0,3
567,4,S. Curtis Johnson,67,1,28,2,0,3
567,4,Helen Johnson-Leipold,66,0,28,2,0,3
567,4,Vinod Khosla,68,1,28,1,1,1
567,4,Thai Lee,64,0,28,1,1,3
567,4,Winifred J. Marquart,63,0,28,2,0,3
567,4,Pankaj Patel,70,1,26,4,0,3
567,4,Horst Julius Pudwill,78,1,25,2,1,1
567,4,Yu Yong,62,1,27,0,1,3
580,4,Maria Fernanda Amorim & family,88,0,0,6,0,2
580,4,Gayle Benson,76,0,28,15,0,3
580,4,Jason Chang,78,1,7,1,1,3
580,4,Ali Erdemoglu,63,1,10,2,1,3
580,4,Andre Esteves,54,1,20,0,1,1
580,4,Carlo Fidani,68,1,22,7,0,3
580,4,Hong Ra-hee,77,0,11,1,0,1
580,4,Li Gaiteng,50,1,27,2,1,3
580,4,Thomas Secunda,68,1,28,9,1,3
580,4,Zuowen Song,76,1,27,6,1,3
580,4,Tim Sweeney,52,1,28,9,1,1
591,4,Bert Beveridge,61,1,28,5,1,3
591,4,Mark Cuban,64,1,28,9,1,1
591,4,Charles Dolan & family,96,1,28,9,1,1
591,4,Jack Dorsey,46,1,28,1,1,1
591,4,Fan Hongwei,56,0,27,8,1,1
591,4,Vladimir Kim,62,1,0,11,1,1
591,4,"Andre Koo, Sr.",55,1,18,0,0,1
591,4,Ronald Lauder,79,1,28,3,0,1
591,4,Li Chunan,54,1,27,2,1,1
591,4,Forrest Li,45,1,7,9,1,1
591,4,Richard Li,56,1,23,16,0,1
591,4,Issad Rebrab & family,79,1,0,5,1,1
591,4,Fred Smith,78,1,28,14,1,1
591,4,Barry Sternlicht,62,1,28,0,1,3
591,4,Maximilian Viessmann,34,1,25,2,0,1
591,4,Russ Weiner,52,1,28,5,1,3
611,4,Dietmar Hopp & family,82,1,25,1,1,1
611,4,Jiang Bin,56,1,27,1,1,1
611,4,Joseph Liemandt,54,1,28,1,1,3
611,4,Theo Mueller,83,1,25,5,0,1
611,4,N.R. Narayana Murthy,76,1,26,1,1,3
611,4,Odd Reitan & family,71,1,3,3,0,1
611,4,Marc Rowan,60,1,28,0,1,1
611,4,Hussain Sajwani,70,1,0,7,1,3
611,4,David Velez & family,41,1,0,0,1,1
611,4,Xu Jinfu,59,1,27,2,1,1
611,4,Samuel Yin,72,1,18,6,0,1
611,4,You Xiaoping,65,1,27,2,1,1
624,4,Stéphane Bancel,50,1,14,4,1,1
624,4,Margot Birmingham Perot,89,0,28,1,0,3
624,4,Neal Blue & family,88,1,28,2,1,3
624,4,Jim Davis,63,1,28,12,1,3
624,4,Rafael Del Pino,64,1,8,13,0,3
624,4,Peter Grogg,81,1,16,4,1,1
624,4,Christian Haub,58,1,25,3,0,2
624,4,Mangal Prabhat Lodha,67,1,26,7,1,1
624,4,Jeffrey Lurie & family,71,1,28,15,0,3
624,4,Joe Mansueto,66,1,28,0,1,1
624,4,Qian Dongqi & family,65,1,27,2,1,1
624,4,Mikhail Shelkov,54,1,24,11,1,3
636,4,Patrick Drahi,59,1,14,16,1,1
636,4,Behdad Eghbali,46,1,28,0,1,3
636,4,Juan Carlos Escotet,63,1,0,0,1,3
636,4,Jose E. Feliciano,49,1,28,0,1,3
636,4,Hu Kaijun,61,1,27,4,1,3
636,4,Johnelle Hunt,91,0,28,14,1,1
636,4,Marian Ilitch,90,0,28,5,1,1
636,4,Daryl Katz,61,1,22,6,1,1
636,4,Andrei Kozitsyn,62,1,24,11,1,3
636,4,Timur Kulibaev,56,1,0,0,1,3
636,4,Dinara Kulibaeva,55,0,0,0,0,3
636,4,Gwendolyn Sontheim Meyer,61,0,28,5,0,1
636,4,Jay Paul,75,1,28,7,1,3
636,4,Pham Nhat Vuong,54,1,0,6,1,1
636,4,Jon Stryker,64,1,28,4,0,3
636,4,Daniel Tsai,66,1,18,0,0,1
636,4,Richard Tsai,65,1,18,0,0,1
636,4,Frank Wang,42,1,27,1,1,1
636,4,Wang Junshi & family,74,1,27,2,1,1
636,4,Wang Wenjing,58,1,27,1,1,1
636,4,Herbert Wertheim,83,1,28,0,1,3
659,4,Shari Arison,65,0,12,12,0,1
659,4,Chan Laiwa & family,82,0,27,7,1,1
659,4,Chen Hua,57,1,27,7,1,3
659,4,Thomas Hagen,87,1,28,0,0,3
659,4,"Rupert Johnson, Jr.",82,1,28,0,0,1
659,4,Min Kao & family,74,1,28,1,1,1
659,4,Marc Ladreit de Lacharriere,82,1,14,0,1,3
659,4,Eric Lefkofsky,53,1,28,1,1,3
659,4,Lin Bin,55,1,28,1,1,1
659,4,Lin Li,59,1,27,0,1,1
659,4,Michael Moritz,68,1,28,1,1,1
659,4,Jean (Gigi) Pritzker,60,0,28,12,0,3
659,4,E. Joe Shoen,73,1,28,10,0,3
659,4,Jeff Skoll,58,1,28,1,1,1
659,4,Lynsi Snyder,40,0,28,5,0,2
659,4,Djoko Susanto,73,1,6,3,1,3
659,4,Tahir & family,71,1,6,6,1,3
659,4,Peter Thiel,55,1,28,0,1,1
679,4,Andrej Babis,68,1,0,5,1,1
679,4,Danielle Bellon & family,83,0,14,12,0,3
679,4,Hubert Burda,83,1,25,9,0,3
679,4,Nick Caporella,87,1,28,5,1,3
679,4,John Catsimatidis,74,1,28,8,1,3
679,4,Scott Cook,70,1,28,1,1,1
679,4,Luca Garavoglia,54,1,21,5,0,3
679,4,Antti Herlin,66,1,0,2,0,1
679,4,Hong Jie,55,1,27,2,1,3
679,4,"Jeremy Jacobs, Sr. & family",83,1,28,12,0,3
679,4,Igor Kesaev,56,1,24,3,1,3
679,4,Mary Alice Dorrance Malone,73,0,28,5,0,3
679,4,Joao Moreira Salles,61,1,20,6,0,3
679,4,Walther Moreira Salles Junior,66,1,20,0,0,3
679,4,Arturo Moreno,76,1,28,15,1,3
679,4,Peter Spuhler,63,1,16,2,1,1
679,4,Donald Sterling,88,1,28,7,1,3
679,4,Kerry Stokes,82,1,17,6,1,1
679,4,Ken Xie,60,1,28,1,1,1
679,4,Liangzhi Xie & family,57,1,27,4,1,1
699,4,Sid Bass,80,1,28,8,0,3
699,4,Ben Chestnut,48,1,28,1,1,1
699,4,Guangchang Guo,56,1,27,6,1,1
699,4,Vinod Rai Gupta,77,0,26,2,0,3
699,4,John Henry,73,1,28,15,1,3
699,4,Travis Kalanick,46,1,28,1,1,3
699,4,Koon Poh Keong,61,1,4,2,1,1
699,4,Dan Kurzius,51,1,28,1,1,1
699,4,Paul Lee,65,1,28,2,1,1
699,4,Tobi Lutke,42,1,22,1,1,1
699,4,Gail Miller,79,0,28,10,1,3
699,4,Isaac Perlmutter,80,1,28,9,1,1
699,4,"Bernard Saul, II.",90,1,28,0,0,3
699,4,Shaul Shani,68,1,12,16,1,1
699,4,Steven Spielberg,76,1,28,9,1,3
699,4,Jerzy Starak,75,1,0,4,1,2
699,4,Torbjorn Tornqvist,69,1,15,8,1,3
699,4,Rufino Vigil Gonzalez,74,1,2,11,1,3
699,4,Zhang Daocai,73,1,27,6,1,3
721,3,Juergen Blickle,76,1,25,2,0,1
721,3,"Austen Cargill, II.",72,1,28,5,0,1
721,3,"James Cargill, II.",73,1,28,5,0,1
721,3,Vanich Chaiyawan,91,1,9,0,1,3
721,3,Dongsheng Chen,65,1,27,0,1,3
721,3,Mong-Koo Chung,85,1,11,10,0,1
721,3,Kenneth Dart,67,1,0,0,0,3
721,3,Giuseppe De'Longhi & family,83,1,21,3,0,1
721,3,Guenther Fielmann & family,83,1,25,4,1,1
721,3,W. Herbert Hunt,94,1,28,8,0,1
721,3,James Irsay,63,1,28,15,0,3
721,3,Marianne Liebmann,69,0,28,5,0,1
721,3,Jorge Moll Filho & family,78,1,20,4,1,1
721,3,Fernando Roberto Moreira Salles,76,1,20,6,0,3
721,3,Pedro Moreira Salles,63,1,20,6,0,3
721,3,Gabe Newell,60,1,28,17,1,2
721,3,Alfred Oetker,56,1,25,3,0,3
721,3,Carl Ferdinand Oetker,50,1,25,3,0,3
721,3,Julia Oetker,44,0,25,3,0,3
721,3,Ruan Hongliang & family,62,1,27,2,1,1
721,3,Mark Stevens,63,1,28,0,1,1
721,3,Tsai Hong-tu,70,1,18,0,0,1
721,3,Nusli Wadia,79,1,26,5,0,3
721,3,Wu Yiling,73,1,27,4,1,2
721,3,Yu Renrong,57,1,27,2,1,1
721,3,Zhu Baoguo & family,60,1,27,4,1,1
748,3,Francesco Gaetano Caltagirone,80,1,21,13,1,1
748,3,Barry Diller,81,1,28,9,1,1
748,3,Wesley Edens,61,1,28,0,1,3
748,3,Stephen Feinberg,63,1,28,0,1,3
748,3,Rakesh Gangwal,69,1,28,12,1,1
748,3,Joseph Grendys,61,1,28,5,1,3
748,3,Martha Ingram & family,87,0,28,9,0,1
748,3,Li Xiang,41,1,27,10,1,1
748,3,"H. Ross Perot, Jr.",64,1,28,7,0,3
748,3,Chandru Raheja,82,1,26,7,0,3
748,3,Trevor Rees-Jones,71,1,28,8,1,1
748,3,Yasumitsu Shigeta,58,1,13,16,1,3
748,3,Tsai Cheng-ta,73,1,18,0,0,1
748,3,Steven Udvar-Hazy,77,1,28,12,1,1
766,3,William Berkley,76,1,28,0,1,2
766,3,Charles Cohen,71,1,28,7,0,3
766,3,Yakir Gabay,56,1,0,7,1,1
766,3,Huang Li,59,1,27,1,1,1
766,3,Brad Jacobs,66,1,28,14,1,2
766,3,Ji Qi,56,1,27,7,1,3
766,3,Jason Jiang,50,1,27,9,1,1
766,3,Jim Kavanaugh,60,1,28,1,1,3
766,3,Richard LeFrak & family,77,1,28,7,0,2
766,3,Mikhail Lomtadze,47,1,0,0,1,3
766,3,Tom Morris,68,1,19,3,1,3
766,3,Shigenobu Nagamori,78,1,13,2,1,1
766,3,Daniel Och,62,1,28,0,1,1
766,3,Horst Paulmann & family,88,1,0,3,1,3
766,3,Anthony Pritzker,62,1,28,12,0,2
766,3,John Sall,75,1,28,1,1,3
766,3,Howard Schultz,69,1,28,5,1,1
766,3,Richard Schulze,82,1,28,3,1,1
766,3,Yitzhak Tshuva,74,1,12,7,1,1
766,3,Wang Yanqing & family,56,1,27,2,1,1
787,3,Leonid Boguslavsky,71,1,22,0,1,1
787,3,Jim Coulter,63,1,28,0,1,3
787,3,Bob Gaglardi,82,1,22,7,1,3
787,3,Jaime Gilinski Bacal,65,1,0,0,0,1
787,3,Pansy Ho,60,0,23,17,0,3
787,3,Alan Howard,59,1,19,0,1,3
787,3,Huang Yi,61,1,23,10,1,1
787,3,Peter Kellogg,80,1,28,0,0,2
787,3,Vyacheslav Kim,53,1,0,0,1,3
787,3,Josh Kushner,37,1,28,0,1,3
787,3,Samuel Tak Lee,83,1,23,7,0,1
787,3,Edwin Leong,71,1,23,7,1,1
787,3,"Stephen Mandel, Jr.",67,1,28,0,1,1
787,3,Mohamed Mansour,75,1,0,6,1,3
787,3,Masahiro Miki,67,1,13,3,1,3
787,3,Masahiro Noda,84,1,13,1,1,3
787,3,Cliff Obrecht,37,1,17,1,1,1
787,3,Melanie Perkins,35,0,17,1,1,1
787,3,J.B. Pritzker,58,1,28,0,0,2
787,3,Juan Roig,73,1,8,3,0,1
787,3,Jerry Speyer,82,1,28,7,1,2
787,3,Lawrence Stroll,63,1,22,3,1,3
787,3,Tung Chee Chen,80,1,23,14,0,2
787,3,Wang Junlin,60,1,27,5,1,1
787,3,Xia Zuoquan,61,1,27,10,1,3
787,3,Zeng Fangqin,57,0,27,1,1,1
787,3,Zhang Jian,54,1,27,2,1,3
818,3,Maurizio Billi,65,1,20,4,0,3
818,3,Fashu Chen,62,1,27,0,1,1
818,3,Giuseppe Crippa & family,87,1,21,2,1,3
818,3,Daniel D'Aniello,76,1,28,0,1,1
818,3,Walter P.J. Droege,70,1,25,0,1,1
818,3,Peter Gassner,58,1,28,1,1,3
818,3,Mikhail Gutseriev,65,1,24,8,1,3
818,3,Patrick Lee,81,1,23,2,1,1
818,3,Leng Youbin,54,1,27,5,1,1
818,3,Daniel Loeb,61,1,28,0,1,1
818,3,Margarita Louis-Dreyfus & family,60,0,16,5,0,1
818,3,Prasert Prasarttong-Osoth,90,1,9,4,1,3
818,3,Ira Rennert,88,1,28,0,1,1
818,3,Dirk Rossmann & family,76,1,25,3,1,3
818,3,Arkady Rotenberg,71,1,24,13,1,3
818,3,Remo Ruffini,61,1,21,3,1,3
818,3,Vivek Chaand Sehgal,66,1,17,10,1,3
818,3,Scott Shleifer,45,1,28,0,1,1
818,3,Thomas Siebel,70,1,28,1,1,2
818,3,Wim van der Leegte & family,75,1,1,2,0,3
818,3,Xiao Yongming & family,58,1,27,6,1,1
818,3,Michael Xie,54,1,28,1,1,3
818,3,Yang Shaopeng,65,1,27,14,1,1
818,3,Barry Zekelman,56,1,22,2,0,3
852,3,William Ackman,56,1,28,0,1,3
852,3,Somphote Ahunai,55,1,9,8,1,1
852,3,Igor Altushkin,52,1,24,11,1,3
852,3,Ramon Ang,69,1,5,5,1,3
852,3,Acharya Balkrishna,50,1,26,5,1,3
852,3,Markus Blocher,52,1,16,2,0,3
852,3,Richard Branson,72,1,19,6,1,1
852,3,Cho Jung-ho,64,1,11,0,0,3
852,3,Alessandra Garavoglia,63,0,21,5,0,3
852,3,Laurence Graff & family,84,1,19,3,1,2
852,3,"Amos Hostetter, Jr.",86,1,28,9,1,1
852,3,Steven Klinsky,66,1,28,0,1,2
852,3,William Lauder,62,1,28,3,0,1
852,3,John Middleton,68,1,28,5,0,2
852,3,Hiroshi Mikitani,58,1,13,3,1,1
852,3,Bob Parsons,72,1,28,1,1,2
852,3,J. Joe Ricketts & family,81,1,28,0,1,1
852,3,Herb Simon,88,1,28,7,1,1
852,3,Leena Tewari,65,0,26,4,0,1
852,3,Stefan von Holtzbrinck,59,1,25,9,0,3
852,3,Hans Peter Wild,81,1,16,5,0,1
852,3,Wu Guanjiang & family,54,1,27,4,1,1
852,3,Yi Zheng,52,1,27,1,1,3
852,3,Eric Yuan & family,53,1,28,1,1,1
852,3,Charles Zegar,75,1,28,9,1,3
878,3,Mohed Altrad,75,1,14,13,1,1
878,3,John Arnold,49,1,28,0,1,2
878,3,Bill Austin,81,1,28,2,1,3
878,3,Chen Shibin,56,1,27,2,1,3
878,3,Bennett Dorrance,77,1,28,5,0,3
878,3,Walter Faria,68,1,20,5,1,2
878,3,Walter Frey,79,1,16,10,0,3
878,3,Fu Liquan & family,55,1,27,1,1,1
878,3,John Gandel,88,1,17,7,0,2
878,3,Peter Gilgan,72,1,22,13,1,3
878,3,Kwek Leng Beng,82,1,7,6,0,3
878,3,Pablo Legorreta,59,1,28,0,1,1
878,3,Arnon Milchan,78,1,12,9,1,1
878,3,Akio Nitori,79,1,13,3,1,1
878,3,Julio Ponce Lerou,77,1,0,11,1,1
878,3,Rodger Riney & family,77,1,28,0,1,1
878,3,Phil Ruffin,88,1,28,6,1,3
878,3,Naguib Sawiris,68,1,0,16,0,1
878,3,Neil Shen,55,1,23,0,1,1
878,3,Gil Shwed,54,1,12,1,1,1
878,3,Stephen Smith,71,1,22,0,1,3
878,3,Nik Storonsky,38,1,19,0,1,1
878,3,Jeffrey Talpins,48,1,28,0,1,3
878,3,Carl Thoma,74,1,28,0,1,3
878,3,Todd Wanek,59,1,28,2,0,1
878,3,Xue Hua,53,1,27,2,1,1
878,3,Takao Yasuda,73,1,13,3,1,3
905,3,Giuliana Benetton,85,0,21,3,1,3
905,3,Luciano Benetton,87,1,21,3,1,3
905,3,Arun Bharat Ram,82,1,26,2,0,1
905,3,Ron Burkle,70,1,28,0,1,3
905,3,Chen Kaixuan,64,1,27,2,1,1
905,3,Brunello Cucinelli & family,69,1,21,3,1,3
905,3,Antonio Del Valle Ruiz & family,84,1,2,2,1,1
905,3,Dong Jinggui,53,1,27,10,1,3
905,3,Charles Ergen,70,1,28,9,1,1
905,3,David Filo,56,1,28,1,1,1
905,3,Lindsay Fox,85,1,17,14,1,3
905,3,Sergei Galitsky,55,1,24,3,1,2
905,3,Senapathy Gopalakrishnan,67,1,26,1,1,1
905,3,Luciano Hang,60,1,20,3,1,1
905,3,Michael Hintze,69,1,17,0,1,2
905,3,Hu Baifan,60,1,27,4,1,1
905,3,Hamilton James & family,71,1,28,0,1,3
905,3,Lee Boo-jin,52,0,11,1,0,1
905,3,Li Liangbin,55,1,27,2,1,1
905,3,Liang Feng,54,1,27,2,1,1
905,3,Samir Mehta,59,1,26,4,0,3
905,3,Sudhir Mehta,68,1,26,4,0,3
905,3,Aristotelis Mistakidis,61,1,0,11,1,1
905,3,Roger Penske,86,1,28,10,1,3
905,3,Ravi Pillai,69,1,26,13,1,3
905,3,David Rubenstein,73,1,28,0,1,1
905,3,Hilton Schlosberg,70,1,19,5,1,3
905,3,Klaus-Peter Schulenberg,71,1,25,12,1,3
905,3,Lynn Schusterman,84,0,28,8,0,1
905,3,Isabella Seràgnoli,77,0,21,2,0,3
905,3,Shen Guojun,60,1,27,3,1,1
905,3,Warren Stephens,66,1,28,0,0,3
905,3,Pat Stryker,66,0,28,4,0,3
905,3,Roman Trotsenko,52,1,24,14,1,0
905,3,Vincent Viola,67,1,28,0,1,1
905,3,Wu Shaoxun,67,1,27,5,1,1
905,3,Steve Wynn,81,1,28,17,1,1
905,3,Jon Yarbrough,65,1,28,17,1,3
905,3,Zhou Bajin,87,1,27,2,1,1
949,3,Cho Tak Wong,76,1,23,2,1,1
949,3,John Coates,53,1,19,17,1,3
949,3,Ryan Cohen,37,1,22,0,1,3
949,3,Deng Wen,55,1,27,5,1,3
949,3,Gurbachan Singh Dhingra,72,1,26,2,1,1
949,3,Kuldip Singh Dhingra,75,1,26,2,1,1
949,3,Martin Ebner,77,1,16,0,1,1
949,3,Charles Edelstenne,85,1,14,2,1,1
949,3,Sergei Gordeev,50,1,24,7,1,3
949,3,Jeff T. Green,46,1,28,9,1,1
949,3,Reed Hastings,62,1,28,1,1,1
949,3,Bertil Hult,82,1,15,12,1,1
949,3,Miguel Krigsner,73,1,20,3,1,1
949,3,Kuok Khoon Hong,73,1,7,2,0,1
949,3,Aerin Lauder,52,0,28,3,0,1
949,3,Sheldon Lavin,90,1,28,5,1,3
949,3,Yin Yee Lee,71,1,27,2,1,1
949,3,Vladimir Litvinenko & family,67,1,24,2,1,0
949,3,Daniel Mate,59,1,8,11,1,1
949,3,Ravi Modi,46,1,26,3,1,3
949,3,Farhad Moshiri,67,1,19,6,1,3
949,3,Jonathan Nelson,66,1,28,0,1,3
949,3,Or Wai Sheun,71,1,23,7,1,1
949,3,Katharina Otto-Bernstein,59,0,25,7,0,1
949,3,Penny Pritzker,63,0,28,0,0,1
949,3,Theodore Rachmat,79,1,6,6,0,1
949,3,Renzo Rosso & family,67,1,21,3,1,1
949,3,Friede Springer,80,0,25,9,0,1
949,3,Rita Tong Liu,74,0,23,7,1,1
949,3,Timur Turlov,35,1,0,0,1,3
949,3,Frank VanderSloot,74,1,28,3,1,3
949,3,Yoo Jung-hyun,53,0,11,9,1,3
982,3,Semahat Sevim Arsel,94,0,10,6,0,3
982,3,Nicolas Berggruen,61,1,28,7,0,3
982,3,George Bishop,85,1,28,8,1,3
982,3,Norman Braman,90,1,28,10,1,3
982,3,Eva Maria Bucher-Haefner,66,0,16,1,0,2
982,3,Cai Dongchen,70,1,27,4,1,1
982,3,Jean-Pierre Cayard,80,1,14,5,0,3
982,3,Todd Christopher,60,1,28,3,1,2
982,3,Mang Yee Chu & family,63,1,27,7,1,1
982,3,"William Conway, Jr.",73,1,28,0,1,1
982,3,Jean Coutu & family,95,1,22,3,1,1
982,3,"Edward DeBartolo, Jr.",76,1,28,7,0,3
982,3,Feng Hailiang,62,1,27,11,1,3
982,3,"Ernest Garcia, II.",65,1,28,10,1,1
982,3,Sam Goi,76,1,7,5,1,3
982,3,Carlos Hank Rhon,75,1,2,6,0,3
982,3,Susan Carol Holland,66,0,21,2,0,1
982,3,Hui Ka Yan,64,1,27,7,1,1
982,3,Vivek Jain,67,1,26,2,0,3
982,3,Friedrich Knapp,71,1,25,3,1,1
982,3,Egor Kulkov,51,1,24,4,1,3
982,3,Lin Ming-hsiung,73,1,18,3,1,1
982,3,Lin Xiucheng & family,67,1,27,1,1,1
982,3,Harsh Mariwala,71,1,26,5,0,1
982,3,Gilles Martin,59,1,14,4,1,1
982,3,Maja Oeri,68,0,16,4,0,1
982,3,John Paulson,67,1,28,0,1,1
